epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.5,1.26752,2.95094,1.43821,0.45614,0.31725,0.34156,0.1914,1.47486,2.56188,1.67668,0.000475154,0.000475154,0.000475154
2,555.125,1.34841,2.07871,1.4704,0.71642,0.56566,0.65115,0.38817,1.39736,1.74291,1.54851,0.000932648,0.000932648,0.000932648
3,630.755,1.37564,1.80921,1.49188,0.53378,0.3934,0.40688,0.22525,1.51613,3.07184,1.6724,0.00137128,0.00137128,0.00137128
4,705.941,1.33576,1.69925,1.4529,0.67068,0.67403,0.70262,0.44883,1.30415,1.46876,1.46922,0.00134412,0.00134412,0.00134412
5,781.62,1.26913,1.4956,1.40599,0.74368,0.71896,0.77488,0.51007,1.16383,1.19806,1.33471,0.00131582,0.00131582,0.00131582
6,856.548,1.22446,1.38296,1.37493,0.84191,0.75199,0.8331,0.56577,1.11994,1.13563,1.30025,0.00128753,0.00128753,0.00128753
7,931.266,1.1786,1.30591,1.34637,0.77417,0.78853,0.84051,0.57075,1.17511,1.0464,1.34863,0.00125923,0.00125923,0.00125923
8,1006.31,1.15216,1.22006,1.32567,0.83272,0.7898,0.85895,0.59893,1.11151,1.0067,1.3023,0.00123094,0.00123094,0.00123094
9,1134.2,1.09864,1.14826,1.29727,0.87772,0.82476,0.89378,0.64644,1.00859,0.88358,1.19651,0.00120265,0.00120265,0.00120265
10,1210.77,1.09764,1.11477,1.28263,0.88927,0.83143,0.90355,0.65665,0.99655,0.85196,1.1917,0.00117435,0.00117435,0.00117435
11,1286.76,1.05906,1.08106,1.26643,0.87695,0.85492,0.90456,0.67442,0.95333,0.882,1.17843,0.00114606,0.00114606,0.00114606
12,1363.06,1.04208,1.02015,1.24863,0.88813,0.87633,0.92089,0.67988,0.97322,0.75405,1.17774,0.00111776,0.00111776,0.00111776
13,1438.56,1.01738,0.97941,1.22857,0.86379,0.90002,0.91362,0.6844,0.94663,0.78321,1.15379,0.00108947,0.00108947,0.00108947
